,A,B,pNN50,RMSSD,CVRR,SDNN,HR,LPS,CSI,SCL,EDA
37,a1,b1,0.26666666666666666,55.656744729553935,0.19996058952627874,96.42631213290213,74.66912414606188,10972.771444194232,4.806468866941525,0.12911186262620025,0.12995032212518334
52,a1,b1,0.2333333333333333,51.275729910899095,0.14594262412150966,95.81588395982544,78.78512298774038,10118.279446739727,5.2221957652412225,0.12954963116971355,0.12741036267670716
67,a1,b1,0.2333333333333333,47.79841867131264,0.06658756789774381,55.35502785963735,65.0529560573154,4533.474539976851,3.4139046459775653,0.1296930566817396,0.12930937492844194
82,a1,b1,0.3333333333333333,54.72879187569453,0.09020679152987236,71.48575117210335,73.50856098360681,7079.595603795038,3.923730994715255,0.12935219709142787,0.12767709063247765
97,a1,b1,0.4666666666666667,60.32637872357313,0.09808593037028122,76.12996732253586,65.14240485949026,7621.716696298548,4.008233248193603,0.12916642274162993,0.12801357228518892
112,a1,b1,0.4666666666666667,63.56854595188192,0.09912351387901944,64.56840088968056,64.70069469823754,6536.59585069771,3.1481642876613267,0.12893473946465173,0.12763911981930556
127,a1,b1,0.43333333333333335,66.43725180590741,0.10795328257074566,71.68190918639172,81.11581003176643,8329.003147521162,3.103599579438134,0.12892479309150934,0.12856986556125513
142,a1,b1,0.43333333333333335,76.39829547194347,0.12048188261666662,84.37784780316841,75.3610718473567,11591.990370820991,3.1366034150987208,0.12876413957767932,0.1284282123019013
9,a1,b2,0.26666666666666666,49.7596910937435,0.1031868768740706,83.0725321747771,64.49393063377889,7539.950742039878,5.3492955247843375,0.12904274681129166,0.12838640418590908
24,a1,b2,0.4666666666666667,62.655688785540804,0.12829253401969615,107.61214663801745,92.51709727856763,11143.96243616594,5.868224383244401,0.12845861114256524,0.12751023853161514
39,a1,b2,0.26666666666666666,50.89513505673578,0.11446962821312832,77.45832036142923,74.1616657454471,7234.2784412589335,4.373599702615379,0.12798751278917528,0.1304323475159103
54,a1,b2,0.3,59.48020059939692,0.10429857653851887,84.26069797415802,78.90463604027539,9339.27389159292,4.057590669545804,0.12772111609361733,0.12575634155016366
69,a1,b2,0.36666666666666653,61.911561003922046,0.09503121496289102,77.16036356787494,67.23093197121965,8342.15081931667,3.8729416182726215,0.12664030155312733,0.12563015893633614
84,a1,b2,0.3,51.129384698158205,0.06593715561302205,53.00081557427134,73.35682122895452,3930.8517754376494,3.4461286024919358,0.12559606833195974,0.12611420279207186
99,a1,b2,0.36666666666666653,55.6149495468974,0.061733443160376565,49.75938051304889,75.44164529862513,3687.1679340423657,2.8301048818684955,0.12478588696324185,0.1235929451517872
114,a1,b2,0.26666666666666666,45.70736532727207,0.04719655168483902,37.60532019483973,70.07475583415655,2180.378492369756,2.702648333595296,0.12349352329706333,0.1219838769159575
38,a2,b1,0.36666666666666653,60.02879981292472,0.13030901468239556,76.30556434585002,68.00785837267215,7784.707290748022,3.9599703121955634,0.1420535887286722,0.15516166821734192
53,a2,b1,0.2,49.1994589978444,0.1322367675954627,106.86326650693277,63.4020564991861,10065.47614598657,6.866831060414394,0.15084111938848424,0.14507493360140888
68,a2,b1,0.2333333333333333,54.15231225089532,0.12071760789992833,69.17960944047014,63.48430237841941,6838.892043899366,3.8448656252502684,0.14969274236857752,0.15062157229775308
83,a2,b1,0.26666666666666666,55.05051097568931,0.13660214557751935,75.34448372394671,66.7293335615375,7589.281374716846,4.113953029382205,0.1472982964262413,0.14812595640924844
98,a2,b1,0.2333333333333333,40.15267471649397,0.14243057255406302,42.05115927838477,65.75845901988801,2677.517946552448,3.2835327997663186,0.1477603749847689,0.14586551241064438
113,a2,b1,0.36666666666666653,51.835964826722496,0.11503115263593905,60.442291149613105,66.87340795518847,5671.926101852848,3.414953579829294,0.14755568699086988,0.14780904575061246
128,a2,b1,0.4,65.57243402157307,0.1101260287481306,77.04124661215727,77.1602327202213,9185.641514141262,3.280527833742976,0.14752985019643533,0.15086003703484416
143,a2,b1,0.3333333333333333,61.65942339907826,0.12004808392507844,81.83346684991412,88.80977941426092,8954.341232285651,3.8766212127191366,0.15849250038682414,0.17963516052659964
2,a2,b2,0.26666666666666666,47.61012668742611,0.11880659808870833,91.50761863913758,75.17766120493033,8551.484940877266,5.494987607220181,0.22384022867914602,0.23045880126018
17,a2,b2,0.3,54.68480558310141,0.13693943577516932,113.5409425795453,68.32163337170272,12175.661718277337,6.378666105131942,0.22562684472671501,0.22350305715117008
32,a2,b2,0.4,67.19499316213114,0.1263203988927867,87.49823574963474,75.7656226826639,11031.218164790791,3.824105251672752,0.22305862306630328,0.21910136576480949
47,a2,b2,0.4,69.35677696056625,0.09724258134634532,80.79641138833416,65.9695674652815,10787.930122131404,3.131345683286823,0.21902905538306852,0.21576932081377592
62,a2,b2,0.3,52.54273690881704,0.06892245353766155,48.904136897379615,69.24351731397923,4355.709481245204,2.4423476733229896,0.21949910562033015,0.2257107885276089
77,a2,b2,0.2333333333333333,43.100468399316114,0.06675481887758407,36.53730898312097,73.41281881340781,2336.5704767674397,2.311890622278603,0.2237950992006657,0.2291531153297301
92,a2,b2,0.43333333333333335,63.98945277134696,0.1054705734360047,84.15064546461363,64.4923185142967,9740.409303710308,4.0531555195619315,0.22655018898181314,0.225307647902584
107,a2,b2,0.36666666666666653,64.36944877201707,0.11171149492032026,89.29321374422132,59.69562509256709,11187.26689835064,3.996743261379311,0.2261880262671817,0.2186138319736564
